instrument_token,exchange_token,tradingsymbol,name,exchange,instrument_type,strike,expiry,lot_size
2223361,8685,73TN32-SG,SDL TN 7.3% 2032,NSE,EQ,,,
2223617,8686,731KL32-SG,SDL KL 7.31% 2032,NSE,EQ,,,
2224129,8688,733AS32-SG,SDL AS 7.33% 2032,NSE,EQ,,,
2224385,8689,734UK32-SG,SDL UK 7.34% 2032,NSE,EQ,,,
2224897,8691,MUKTAARTS-BE,MUKTA ARTS,NSE,EQ,,,
2225153,8692,734GA32-SG,SDL GA 7.34% 2032,NSE,EQ,,,
2225409,8693,734UP32-SG,SDL UP 7.34% 2032,NSE,EQ,,,
2225921,8695,734MN32A-SG,SDL MN 7.34% 2032,NSE,EQ,,,
2226177,8696,VRLLOG,VRL LOGISTICS,NSE,EQ,,,
2226689,8698,734NL32-SG,SDL NL 7.34% 2032,NSE,EQ,,,
2226945,8699,735SK32-SG,SDL SK 7.35% 2032,NSE,EQ,,,
2227457,8701,736WB32-SG,SDL WB 7.36% 2032,NSE,EQ,,,
2227713,8702,735UP34-SG,SDL UP 7.35% 2034,NSE,EQ,,,
2227969,8703,736TS36-SG,SDL TS 7.36% 2036,NSE,EQ,,,
2228481,8705,739UP37-SG,SDL UP 7.39% 2037,NSE,EQ,,,
2230529,8713,74KL37-SG,SDL KL 7.4% 2037,NSE,EQ,,,
2231809,8718,737PN42-SG,SDL PN 7.37% 2042,NSE,EQ,,,
2232065,8719,739TN42-SG,SDL TN 7.39% 2042,NSE,EQ,,,
2232577,8721,744AP42-SG,SDL AP 7.44% 2042,NSE,EQ,,,
2232833,8722,TCIFINANCE-BE,TCIFINANCELTD-ROLL SETT,NSE,EQ,,,
2234113,8727,SHAILY,SHAILY ENG PLASTICS,NSE,EQ,,,
2236161,8735,PROPEQUITY-SM,P. E. ANALYTICS,NSE,EQ,,,
2236417,8736,PNBGILTS,PNB GILTS,NSE,EQ,,,
2244097,8766,SGBFEB27-GB,2.50%GOLDBONDS2027SR-VI,NSE,EQ,,,
2245633,8772,DSKULKARNI-BE,DS KULKARNI DEVELOPERS L,NSE,EQ,,,
2251009,8793,MOTOGENFIN-BE,MOTOR & GENERAL FINANCE L,NSE,EQ,,,
2252033,8797,OBCL,OBCL,NSE,EQ,,,
2254337,8806,SONAMLTD,SONAM,NSE,EQ,,,
2259201,8825,PRIVISCL,PRIVI SPECIALITY CHE,NSE,EQ,,,
2259713,8827,AVROIND,AVRO INDIA,NSE,EQ,,,
2259969,8828,GAEL,GUJARAT AMBUJA EXPORTS LT,NSE,EQ,,,
2261249,8833,BCG,BRIGHTCOM GROUP,NSE,EQ,,,
2263041,8840,USHAMART,USHA MARTIN,NSE,EQ,,,
2264321,8845,UMAEXPORTS-BE,UMA EXPORTS,NSE,EQ,,,
2265345,8849,KCPSUGIND-BE,KCPSUGARINDUS,NSE,EQ,,,
2267393,8857,IVP-BE,IVP,NSE,EQ,,,
2269697,8866,CHOICEIN,CHOICE INTERNATIONAL,NSE,EQ,,,
2273793,8882,TNIDETF,TATA NIFTY INDIA DIGITAL ETF,NSE,EQ,,,
2274817,8886,EUROTEXIND-BE,EUROTEX IND & EXPORTS,NSE,EQ,,,
2275841,8890,VERANDA,VERANDA LEARNING SOL,NSE,EQ,,,
2278401,8900,MINDPOOL-SM,MINDPOOL TECHNOLOGIES,NSE,EQ,,,
2286081,8930,729AP34-SG,SDL AP 7.29% 2034,NSE,EQ,,,
2286337,8931,SUPERSPIN-BE,SUPER SPINNING MILLS,NSE,EQ,,,
2286593,8932,734AP40-SG,SDL AP 7.34% 2040,NSE,EQ,,,
2287105,8934,718MH30-SG,SDL MH 7.18% 2030,NSE,EQ,,,
2287361,8935,711MH29-SG,SDL MH 7.11% 2029,NSE,EQ,,,
2288641,8940,E2E-BE,E2E NETWORKS,NSE,EQ,,,
2289665,8944,RITCO,RITCO LOGISTICS,NSE,EQ,,,
2291969,8953,ELDEHSG,ELDECO HSG & IND,NSE,EQ,,,
2292225,8954,TTML,TATA TELESERV(MAHARASTRA),NSE,EQ,,,
2294273,8962,HARDWYN,HARDWYN INDIA,NSE,EQ,,,
2295809,8968,HARIOMPIPE,HARIOM PIPE INDUSTRIES L,NSE,EQ,,,
2297345,8974,752AP38-SG,SDL AP 7.52% 2038,NSE,EQ,,,
2298113,8977,752AP42-SG,SDL AP 7.52% 2042,NSE,EQ,,,
2303489,8998,UMIYA-MRO,UMIYA BUILDCON,NSE,EQ,,,
2305793,9007,NOVARTIND,NOVARTIS INDIA,NSE,EQ,,,
2307585,9014,ANUP,THE ANUP ENGINEERING,NSE,EQ,,,
2310913,9027,VCL-BE,VAXTEX COTFAB,NSE,EQ,,,
2313985,9039,UFO,UFO MOVIEZ INDIA,NSE,EQ,,,
2315777,9046,AGROPHOS,AGRO PHOS INDIA,NSE,EQ,,,
2316033,9047,710GS2029-GS,GOI LOAN 7.10% 2029,NSE,EQ,,,
2316545,9049,ROTO,ROTO PUMPS,NSE,EQ,,,
2326273,9087,PIXTRANS,PIX TRANSMISSIONS,NSE,EQ,,,
2329345,9099,748PN42-SG,SDL PN 7.48% 2042,NSE,EQ,,,
2332417,9111,ARVINDFASN,ARVIND FASHIONS,NSE,EQ,,,
2333953,9117,TIPSMUSIC,TIPS MUSIC,NSE,EQ,,,
2334721,9120,INDOAMIN-BE,INDO AMINES,NSE,EQ,,,
2344449,9158,BALAJITELE,BALAJI TELEFILMS,NSE,EQ,,,
2347009,9168,SNXT50BETA,UTI BSE SENSEX NEXT 50 ETF,NSE,EQ,,,
2360065,9219,TPLPLASTEH,TPL PLASTECH,NSE,EQ,,,
2368769,9253,NILAINFRA,NILA INFRASTRUCTURES,NSE,EQ,,,
2369281,9255,875SCL27-YQ,875SCL27-YQ,NSE,EQ,,,
2371073,9262,925SCL27-YR,925SCL27-YR,NSE,EQ,,,
2371585,9264,ARROWGREEN-BE,ARROW GREENTECH,NSE,EQ,,,
2373889,9273,843SCL27-YS,843SCL27-YS,NSE,EQ,,,
2374913,9277,889SCL27-YT,889SCL27-YT,NSE,EQ,,,
2377729,9288,KRITIKA,KRITIKA WIRES,NSE,EQ,,,
2379265,9294,GINNIFILA-BE,GINNIFILAMENTS,NSE,EQ,,,
2382081,9305,STARTECK,STARTECK FINANCE,NSE,EQ,,,
2384129,9313,STLTECH-BE,STERLITE TECHNOLOGIES,NSE,EQ,,,
2389249,9333,715HR28-SG,SDL HR 7.15% 2028,NSE,EQ,,,
2391553,9342,PNC,PRITISH NANDY COMMUNICATI,NSE,EQ,,,
2392065,9344,727HR30-SG,SDL HR 7.27% 2030,NSE,EQ,,,
2392321,9345,745AP37-SG,SDL AP 7.45% 2037,NSE,EQ,,,
2393089,9348,IOB,INDIAN OVERSEAS BANK,NSE,EQ,,,
2394625,9354,TAJGVK,TAJ GVK HOTELS & RESORTS,NSE,EQ,,,
2395137,9356,MSTCLTD,MSTC,NSE,EQ,,,
2396673,9362,CAMPUS,CAMPUS ACTIVEWEAR,NSE,EQ,,,
2400769,9378,TRU,TRUCAP FINANCE,NSE,EQ,,,
2401281,9380,IL&FSENGG-BZ,IL&FS ENG AND CONS CO,NSE,EQ,,,
2401537,9381,IL&FSTRANS-BZ,IL&FS TRANS NET,NSE,EQ,,,
2402049,9383,EMBASSY-RR,EMBASSY OFFICE PARKS REIT,NSE,EQ,,,
2402305,9384,CREATIVEYE,CREATIVE EYE,NSE,EQ,,,
2402561,9385,PNCINFRA,PNC INFRATECH,NSE,EQ,,,
2404353,9392,LANCER,LANCER CONTAINER LINES L,NSE,EQ,,,
2405633,9397,BHARATGEAR-BE,BHARAT GEARS,NSE,EQ,,,
2408449,9408,RAINBOW,RAINBOW CHILDRENS MED,NSE,EQ,,,
2412033,9422,SILVERTUC,SILVER TOUCH TECHNO,NSE,EQ,,,
2413569,9428,SKIPPER,SKIPPER,NSE,EQ,,,
2414849,9433,763HR29-SG,SDL HR 7.63% 2029,NSE,EQ,,,
2415361,9435,761MH29-SG,SDL MH 7.61% 2029,NSE,EQ,,,
2415617,9436,AXISCADES,AXISCADES TECH,NSE,EQ,,,
2415873,9437,763MH30-SG,SDL MH 7.63% 2030,NSE,EQ,,,
2416129,9438,776AP32-SG,SDL AP 7.76% 2032,NSE,EQ,,,
2416897,9441,773HR33-SG,SDL HR 7.73% 2033,NSE,EQ,,,
2417665,9444,774HR35-SG,SDL HR 7.74% 2035,NSE,EQ,,,
2418945,9449,776PN37-SG,SDL PN 7.76% 2037,NSE,EQ,,,
2419201,9450,778AP41-SG,SDL AP 7.78% 2041,NSE,EQ,,,
2419457,9451,778AP42-SG,SDL AP 7.78% 2042,NSE,EQ,,,
2422529,9463,SONUINFRA-ST,SONU INFRATECH,NSE,EQ,,,
2426881,9480,LICI,LIFE INSURA CORP OF INDIA,NSE,EQ,,,
2439681,9530,746AP27-SG,SDL AP 7.46% 2027,NSE,EQ,,,
2439937,9531,763AP30-SG,SDL AP 7.63% 2030,NSE,EQ,,,
2440193,9532,77RJ32-SG,SDL RJ 7.7% 2032,NSE,EQ,,,
2441729,9538,762GS2039-GS,GOI LOAN 7.62% 2039,NSE,EQ,,,
2441985,9539,SAKAR,SAKAR HEALTHCARE,NSE,EQ,,,
2445313,9552,RVNL,RAIL VIKAS NIGAM,NSE,EQ,,,
2445569,9553,PRUDENT,PRUDENT CORP ADV SER,NSE,EQ,,,
2446849,9558,AKSHAR,AKSHAR SPINTEX,NSE,EQ,,,
2449921,9570,KHFM-SM,KHFM HOS FAC MANA SER,NSE,EQ,,,
2451713,9577,MAHESHWARI-BE,MAHESHWARI LOGISTICS,NSE,EQ,,,
2452737,9581,METROPOLIS,METROPOLIS HEALTHCARE,NSE,EQ,,,
2453761,9585,754GS2036-GS,GOI LOAN  7.54% 2036,NSE,EQ,,,
2455041,9590,POLYCAB,POLYCAB INDIA,NSE,EQ,,,
2455553,9592,VENUSPIPES,VENUS PIPES & TUBES,NSE,EQ,,,
2457345,9599,DELHIVERY,DELHIVERY,NSE,EQ,,,
2458625,9604,772GS2049-GS,GOI LOAN 7.72% 2049,NSE,EQ,,,
2461953,9617,SPLPETRO,SUPREME PETROCHEM,NSE,EQ,,,
2468097,9641,KHANDSE,KHANDWALA SECURITIES,NSE,EQ,,,
2470913,9652,RELCHEMQ,RELIANCE CHEMOTEX IND,NSE,EQ,,,
2474753,9667,MEDICO,MEDICO REMEDIES,NSE,EQ,,,
2475009,9668,HIKAL,HIKAL,NSE,EQ,,,
2477569,9678,SOUTHWEST,SOUTH WEST PINNACLE,NSE,EQ,,,
2478849,9683,KPITTECH,KPIT TECHNOLOGIES,NSE,EQ,,,
2479361,9685,TRIDENT,TRIDENT,NSE,EQ,,,
2481921,9695,762MH30-SG,SDL MH 7.62% 2030,NSE,EQ,,,
2482177,9696,767AP31-SG,SDL AP 7.67% 2031,NSE,EQ,,,
2485249,9708,769MZ31-SG,SDL MZ 7.69% 2031,NSE,EQ,,,
2486017,9711,771AP32-SG,SDL AP 7.71% 2032,NSE,EQ,,,
2487553,9717,772JK32-SG,SDL JK 7.72% 2032,NSE,EQ,,,
2487809,9718,772MN32-SG,SDL MN 7.72% 2032,NSE,EQ,,,
2488065,9719,773WB32-SG,SDL WB 7.73% 2032,NSE,EQ,,,
2488833,9722,770MH32-SG,SDL MH 7.70% 2032,NSE,EQ,,,
2489345,9724,772MH34-SG,SDL MH 7.72% 2034,NSE,EQ,,,
2489601,9725,772RJ35-SG,SDL RJ 7.72% 2035,NSE,EQ,,,
2493697,9741,PARADEEP,PARADEEP PHOSPHATES,NSE,EQ,,,
2496001,9750,ETHOSLTD,ETHOS,NSE,EQ,,,
2497537,9756,EMUDHRA,EMUDHRA,NSE,EQ,,,
2499585,9764,GSTL-SM,GLOBESECURE TECHNO,NSE,EQ,,,
2500865,9769,EASTSILK-BE,EASTERN SILK INDUSTRIES L,NSE,EQ,,,
2501121,9770,763HR28-SG,SDL HR 7.63% 2028,NSE,EQ,,,
2501377,9771,777GJ31-SG,SDL GJ 7.77% 2031,NSE,EQ,,,
2501889,9773,78AP31-SG,SDL AP 7.8% 2031,NSE,EQ,,,
2502145,9774,78ML31-SG,SDL ML 7.8% 2031,NSE,EQ,,,
2502657,9776,78TN32-SG,SDL TN 7.8% 2032,NSE,EQ,,,
2502913,9777,78GJ32-SG,SDL GJ 7.8% 2032,NSE,EQ,,,
2503425,9779,781GA32-SG,SDL GA 7.81% 2032,NSE,EQ,,,
2503681,9780,781HR32-SG,SDL HR 7.81% 2032,NSE,EQ,,,
2503937,9781,782MN32-SG,SDL MN 7.82% 2032,NSE,EQ,,,
2504193,9782,783WB32-SG,SDL WB 7.83% 2032,NSE,EQ,,,
2504961,9785,79AP33-SG,SDL AP 7.9% 2033,NSE,EQ,,,
2505729,9788,785KL34-SG,SDL KL 7.85% 2034,NSE,EQ,,,
2508033,9797,79AP34-SG,SDL AP 7.9% 2034,NSE,EQ,,,
2508801,9800,79RJ42-SG,SDL RJ 7.9% 2042,NSE,EQ,,,
2509313,9802,TIL-BE,TIL,NSE,EQ,,,
2510081,9805,KANORICHEM-BE,KANORIACHEMICALS-,NSE,EQ,,,
2511361,9810,AETHER,AETHER INDUSTRIES,NSE,EQ,,,
2513665,9819,HAVELLS,HAVELLS INDIA,NSE,EQ,,,
2514177,9821,786MH30-SG,SDL MH 7.86% 2030,NSE,EQ,,,
2514433,9822,789MH32-SG,SDL MH 7.89% 2032,NSE,EQ,,,
2514945,9824,802TS35-SG,SDL TS 8.02% 2035,NSE,EQ,,,
2515457,9826,803AP35-SG,SDL AP 8.03% 2035,NSE,EQ,,,
2516481,9830,807AP36-SG,SDL AP 8.07% 2036,NSE,EQ,,,
2517505,9834,799TN42-SG,SDL TN 7.99% 2042,NSE,EQ,,,
2520833,9847,NV20BEES,NIPPON INDIA NIFTY 50 VALUE 20 ETF,NSE,EQ,,,
2521089,9848,SUNDRMBRAK-BE,SUNDARAMBRAKE LININGS,NSE,EQ,,,
2522625,9854,RILINFRA-SM,RACHANA INFRA,NSE,EQ,,,
2523649,9858,FIDEL-SM,FIDEL SOFTECH,NSE,EQ,,,
2524673,9862,WEWIN,WE WIN,NSE,EQ,,,
2525953,9867,NEXTMEDIA,NEXT MEDIAWORKS,NSE,EQ,,,
2526465,9869,794TN32-SG,SDL TN 7.94% 2032,NSE,EQ,,,
2526721,9870,795HR32-SG,SDL HR 7.95% 2032,NSE,EQ,,,
2526977,9871,804AP41-SG,SDL AP 8.04% 2041,NSE,EQ,,,
2527233,9872,804AP42-SG,SDL AP 8.04% 2042,NSE,EQ,,,
2527489,9873,769HR27-SG,SDL HR 7.69% 2027,NSE,EQ,,,
2528769,9878,GOLDTECH-BE,AION-TECH SOLUTIONS,NSE,EQ,,,
2529025,9879,CHEVIOT,CHEVIOT COMPANY,NSE,EQ,,,
2531329,9888,769GS2043-GS,GOI LOAN 7.69% 2043,NSE,EQ,,,
2532609,9893,SMARTLINK-BE,SMARTLINK HOLDINGS,NSE,EQ,,,
2533633,9897,AIRAN,AIRAN,NSE,EQ,,,
2534913,9902,AXITA,AXITA COTTON,NSE,EQ,,,
2536193,9907,763GS2059-GS,GOI LOAN 7.63% 2059,NSE,EQ,,,
2537729,9913,738GS2027-GS,GOI LOAN 7.38% 2027,NSE,EQ,,,
2537985,9914,78AP31A-SG,SDL AP 7.8% 2031,NSE,EQ,,,
2538241,9915,783RJ32-SG,SDL RJ 7.83% 2032,NSE,EQ,,,
2538497,9916,786AS32-SG,SDL AS 7.86% 2032,NSE,EQ,,,
2538753,9917,NEOGEN,NEOGEN CHEMICALS,NSE,EQ,,,
2539777,9921,ALANKIT,ALANKIT,NSE,EQ,,,
2540033,9922,786MZ32-SG,SDL MZ 7.86% 2032,NSE,EQ,,,
2540289,9923,788NL32-SG,SDL NL 7.88% 2032,NSE,EQ,,,
2541569,9928,785AP37-SG,SDL AP 7.85% 2037,NSE,EQ,,,
2542337,9931,VIKASLIFE,VIKAS LIFECARE,NSE,EQ,,,
2544385,9939,ONEPOINT,ONE POINT ONE SOL,NSE,EQ,,,
2545409,9943,785RJ37-SG,SDL RJ 7.85% 2037,NSE,EQ,,,
2547713,9952,785RJ39-SG,SDL RJ 7.85% 2039,NSE,EQ,,,
2547969,9953,784TN52-SG,SDL TN 7.84% 2052,NSE,EQ,,,
2550529,9963,HEALTHINAV,HEALTHY INAV,NSE,EQ,,,
2550785,9964,ABSLBAINAV,ABSLBANETF INAV,NSE,EQ,,,
2551041,9965,TECHINAV,TECH INAV,NSE,EQ,,,
2552577,9971,BSLSENINAV,BSLSENETFG INAV,NSE,EQ,,,
2552833,9972,BSLNIFINAV,BSLNIFTY INAV,NSE,EQ,,,
2553089,9973,ABSLNNINAV,ABSLNN50ET INAV,NSE,EQ,,,
2553345,9974,AXISHCINAV,AXISHCETF INAV,NSE,EQ,,,
2553601,9975,829PFL29-N6,829PFL29-N6,NSE,EQ,,,
2555393,9982,85PFL26A-N7,85PFL26A-N7,NSE,EQ,,,
2556417,9986,AXISBPINAV,AXISBPSETF INAV,NSE,EQ,,,
2556673,9987,AXISBNINAV,AXISBNKETF INAV,NSE,EQ,,,
2556929,9988,AXISCEINAV,AXISCETF INAV,NSE,EQ,,,
2557185,9989,AXISNIINAV,AXISNIFTY INAV,NSE,EQ,,,
2558977,9996,AXISTEINAV,AXISTECETF INAV,NSE,EQ,,,
2559233,9997,DSPNEWINAV,DSPNEWETF INAV,NSE,EQ,,,
2561025,10004,DSPN50INAV,DSPN50ETF INAV,NSE,EQ,,,
2561281,10005,DSPQ50INAV,DSPQ50ETF INAV,NSE,EQ,,,
2561793,10007,LIQUIEINAV,LIQUIDETF INAV,NSE,EQ,,,
2562049,10008,EBANKINAV,EBANK INAV,NSE,EQ,,,
2563073,10012,EBBE23INAV,EBBETF0423 INAV,NSE,EQ,,,
2564097,10016,EBBE30INAV,EBBETF0430 INAV,NSE,EQ,,,
2564353,10017,EBBE31INAV,EBBETF0425 INAV,NSE,EQ,,,
2564865,10019,EBBE32INAV,EBBETF0431 INAV,NSE,EQ,,,
2565377,10021,BBETF0INAV,BBETF0432 INAV,NSE,EQ,,,
2565633,10022,HBANKEINAV,HBANKETF INAV,NSE,EQ,,,
2565889,10023,HDFCNFINAV,HDFCNIFETF INAV,NSE,EQ,,,
2566145,10024,HDFCSEINAV,HDFCSENETF INAV,NSE,EQ,,,
2566401,10025,ICICIKINAV,ICICIBANKN INAV,NSE,EQ,,,
2566657,10026,ICICIPINAV,ICICIMCAP INAV,NSE,EQ,,,
2567169,10028,ICICI2INAV,ICICIB22 INAV,NSE,EQ,,,
2567681,10030,ICICIOINAV,ICICIAUTO INAV,NSE,EQ,,,
2567937,10031,ICICICINAV,ICICICONSU INAV,NSE,EQ,,,
2568449,10033,ICICIFINAV,ICICIFMCG INAV,NSE,EQ,,,
2570753,10042,ICICIRINAV,ICICIPHARM INAV,NSE,EQ,,,
2571009,10043,ICICITINAV,ICICITECH INAV,NSE,EQ,,,
2571265,10044,ICICIQINAV,ICICILIQ INAV,NSE,EQ,,,
2571521,10045,ICICIMINAV,ICICIM150 INAV,NSE,EQ,,,
2571777,10046,757GS2033-GS,GOI LOAN 7.57% 2033,NSE,EQ,,,
2572033,10047,ICICIXINAV,ICICINXT50 INAV,NSE,EQ,,,
2572289,10048,ICICI5INAV,ICICI500 INAV,NSE,EQ,,,
2572545,10049,ICICIAINAV,ICICIALPLV INAV,NSE,EQ,,,
2572801,10050,ICICI1INAV,ICICINF100 INAV,NSE,EQ,,,
2573825,10054,ICICIYINAV,ICICINIFTY INAV,NSE,EQ,,,
2574593,10057,ICICILINAV,ICICILOVOL INAV,NSE,EQ,,,
2574849,10058,ICICININAV,ICICINV20 INAV,NSE,EQ,,,
2575105,10059,ICICIBINAV,ICICIBANKP INAV,NSE,EQ,,,
2575873,10062,IDFNIFINAV,IDFNIFTYET INAV,NSE,EQ,,,
2576897,10066,IBMFNIINAV,IBMFNIFTY INAV,NSE,EQ,,,
2578177,10071,IVZINNINAV,IVZINNIFTY INAV,NSE,EQ,,,
2579201,10075,KOTAKBINAV,KOTAKBKETF INAV,NSE,EQ,,,
2579457,10076,KOTAKVINAV,KOTAKNV20 INAV,NSE,EQ,,,
2579713,10077,KOTAKPINAV,KOTAKPSUBK INAV,NSE,EQ,,,
2579969,10078,KOTAKIINAV,KOTAKIT INAV,NSE,EQ,,,
2580225,10079,KOTAKMINAV,KOTAKMID50 INAV,NSE,EQ,,,
2580481,10080,KOTAKAINAV,KOTAKALPHA INAV,NSE,EQ,,,
2580737,10081,KOTAKNINAV,KOTAKNIFTY INAV,NSE,EQ,,,
2580993,10082,KOTAKLINAV,KOTAKLOVOL INAV,NSE,EQ,,,
2581505,10084,EMAMIPAP-BE,EMAMI PAPER MILLS,NSE,EQ,,,
2581761,10085,LICNFNINAV,LICNFNHGP INAV,NSE,EQ,,,
2585089,10098,LICN50INAV,LICNETFN50 INAV,NSE,EQ,,,
2585345,10099,GODREJCP,GODREJ CONSUMER PRODUCTS,NSE,EQ,,,
2585857,10101,LICNGSINAV,LICNETFGSC INAV,NSE,EQ,,,
2586625,10104,LICNETINAV,LICNETFSEN INAV,NSE,EQ,,,
2586881,10105,MAHKTEINAV,MAHKTECH INAV,NSE,EQ,,,
2587137,10106,MAN50EINAV,MAN50ETF INAV,NSE,EQ,,,
2587649,10108,MAFSETINAV,MAFSETF INAV,NSE,EQ,,,
2587905,10109,MAMFGEINAV,MAMFGETF INAV,NSE,EQ,,,
2588161,10110,MAM150INAV,MAM150ETF INAV,NSE,EQ,,,
2589953,10117,MANXT5INAV,MANXT50 INAV,NSE,EQ,,,
2590209,10118,MAFANGINAV,MAFANG INAV,NSE,EQ,,,
2590465,10119,MASPTOINAV,MASPTOP50 INAV,NSE,EQ,,,
2590721,10120,MAESGEINAV,MAESGETF INAV,NSE,EQ,,,
2590977,10121,MOGSECINAV,MOGSEC INAV,NSE,EQ,,,
2591233,10122,MOM100INAV,MOM100 INAV,NSE,EQ,,,
2591489,10123,RUBYMILLS-BE,THE RUBY MILLS,NSE,EQ,,,
2592513,10127,MOM50INAV,MOM50 INAV,NSE,EQ,,,
2592769,10128,MONQ50INAV,MONQ50 INAV,NSE,EQ,,,
2593025,10129,MOMOMEINAV,MOMOMENTUM INAV,NSE,EQ,,,
2593281,10130,MON100INAV,MON100 INAV,NSE,EQ,,,
2593537,10131,MOLOWVINAV,MOLOWVOL INAV,NSE,EQ,,,
2593793,10132,LIQUIDINAV,LIQUIDBEES INAV,NSE,EQ,,,
2594049,10133,LTGILTINAV,LTGILTBEES INAV,NSE,EQ,,,
2594305,10134,MID150INAV,MID150BEES INAV,NSE,EQ,,,
2596097,10141,ITBEESINAV,ITBEES INAV,NSE,EQ,,,
2596353,10142,SDL24BINAV,SDL24BEES INAV,NSE,EQ,,,
2597633,10147,SDL26BINAV,SDL26BEES INAV,NSE,EQ,,,
2597889,10148,GILT5YINAV,GILT5YBEES INAV,NSE,EQ,,,
2598145,10149,PHARMAINAV,PHARMABEES INAV,NSE,EQ,,,
2598401,10150,AUTOBEINAV,AUTOBEES INAV,NSE,EQ,,,
2598657,10151,QNIFTYINAV,QNIFTY INAV,NSE,EQ,,,
2598913,10152,SBILTYINAV,SBIETFQLTY INAV,NSE,EQ,,,
2599169,10153,SBICONINAV,SBIETFCON INAV,NSE,EQ,,,
2599425,10154,SBIFPBINAV,SBIETFPB INAV,NSE,EQ,,,
2599681,10155,SETF10INAV,SETF10GILT INAV,NSE,EQ,,,
2600705,10159,ORICONENT,ORICON ENTERPRISES,NSE,EQ,,,
2600961,10160,SBIETFINAV,SBIETFIT INAV,NSE,EQ,,,
2601217,10161,SETF50INAV,SETFNIF50 INAV,NSE,EQ,,,
2602497,10166,SETFNIINAV,SETFNIFBK INAV,NSE,EQ,,,
2602753,10167,SETFNNINAV,SETFNN50 INAV,NSE,EQ,,,
2603009,10168,NETFINAV,NETF INAV,NSE,EQ,,,
2603265,10169,TNIDETINAV,TNIDETF INAV,NSE,EQ,,,
2603521,10170,NPBETINAV,NPBET INAV,NSE,EQ,,,
2603777,10171,UTIBANINAV,UTIBANKETF INAV,NSE,EQ,,,
2604033,10172,UTINEXINAV,UTINEXT50 INAV,NSE,EQ,,,
2604289,10173,UTINIFINAV,UTINIFTETF INAV,NSE,EQ,,,
2604801,10175,UTISENINAV,UTISENSETF INAV,NSE,EQ,,,
2605057,10176,SETFNIF50,SBI NIFTY 50 ETF,NSE,EQ,,,
2606337,10181,BALKRISHNA,BALKRISHNA PAPER MILLS L,NSE,EQ,,,
2606593,10182,UTISXNINAV,UTISXN50 INAV,NSE,EQ,,,
2606849,10183,ICISECINAV,ICICI5GSEC INAV,NSE,EQ,,,
2608385,10189,ICISENINAV,ICICISENSX INAV,NSE,EQ,,,
2608641,10190,781TN52-SG,SDL TN 7.81% 2052,NSE,EQ,,,
2609153,10192,SHYAMCENT-BE,SHYAM CENTURY FERROUS,NSE,EQ,,,
2609921,10195,753AS27-SG,SDL AS 7.53% 2027,NSE,EQ,,,
2610177,10196,782GJ32-SG,SDL GJ 7.82% 2032,NSE,EQ,,,
2610433,10197,785AS32-SG,SDL AS 7.85% 2032,NSE,EQ,,,
2610689,10198,785MP32-SG,SDL MP 7.85% 2032,NSE,EQ,,,
2611713,10202,786HR32-SG,SDL HR 7.86% 2032,NSE,EQ,,,
2611969,10203,793AP33-SG,SDL AP 7.93% 2033,NSE,EQ,,,
2612225,10204,793TS34-SG,SDL TS 7.93% 2034,NSE,EQ,,,
2612481,10205,794HR34-SG,SDL HR 7.94% 2034,NSE,EQ,,,
2612737,10206,794AP34-SG,SDL AP 7.94% 2034,NSE,EQ,,,
2612993,10207,793TS35-SG,SDL TS 7.93% 2035,NSE,EQ,,,
2614273,10212,794TS36-SG,SDL TS 7.94% 2036,NSE,EQ,,,
2614529,10213,796WB37-SG,SDL WB 7.96% 2037,NSE,EQ,,,
2614785,10214,795AP38-SG,SDL AP 7.95% 2038,NSE,EQ,,,
2615041,10215,795AP39-SG,SDL AP 7.95% 2039,NSE,EQ,,,
2615297,10216,795AP40-SG,SDL AP 7.95% 2040,NSE,EQ,,,
2615553,10217,ADANIENSOL,ADANI ENERGY SOLUTION,NSE,EQ,,,
2615809,10218,792AP42-SG,SDL AP 7.92% 2042,NSE,EQ,,,
2616065,10219,781RJ47-SG,SDL RJ 7.81% 2047,NSE,EQ,,,
2618113,10227,MANORAMA,MANORAMA INDUSTRIES,NSE,EQ,,,
2619393,10232,SGBJUN30-GB,2.50%GOLDBONDS2030SR-I,NSE,EQ,,,
2619649,10233,765GJ29-SG,SDL GJ 7.65% 2029,NSE,EQ,,,
2619905,10234,765TN29-SG,SDL TN 7.65% 2029,NSE,EQ,,,
2620161,10235,776HP30-SG,SDL HP 7.76% 2030,NSE,EQ,,,
2620929,10238,CONFIPET,CONFIDENCE PETRO IND,NSE,EQ,,,
2622209,10243,SYNGENE,SYNGENE INTERNATIONAL,NSE,EQ,,,
2622977,10246,782AS32-SG,SDL AS 7.82% 2032,NSE,EQ,,,
2623233,10247,782HP32-SG,SDL HP 7.82% 2032,NSE,EQ,,,
2624513,10252,782WB32-SG,SDL WB 7.82% 2032,NSE,EQ,,,
2624769,10253,EMKAYTOOLS-SM,EMKAY TAP & CUT. TOOL,NSE,EQ,,,
2625281,10255,795AP40A-SG,SDL AP 7.95% 2040,NSE,EQ,,,
2625793,10257,792AP42A-SG,SDL AP 7.92% 2042,NSE,EQ,,,
2626817,10261,SGBJUN27-GB,2.50%GOLDBONDS2027SR-I,NSE,EQ,,,
2628609,10268,804PN42-SG,SDL PN 8.04% 2042,NSE,EQ,,,
2628865,10269,791TS43-SG,SDL TS 7.91% 2043,NSE,EQ,,,
